title,company,location,how_old,link
Pessoa Analista de Customer Success Operations,Knewin,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=f0ea99d8d66d6157&fccid=a3c1e2d26c42a257&vjs=3
Desenvolvedor(a) Back-end Python,MESHA TECNOLOGIA,"Hybrid remote in Maceió, AL",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cb804a87afbd04ba&fccid=b40edd3944d0c8d7&vjs=3
[RACCOON.MONKS] Estágio Data Science,raccoon.monks,Home office,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=d43ce37f1fc700f8&fccid=fd8162ad6a9d5817&vjs=3
Estágio em Reporting,Cielo Oportunidades Internas,Home office,Postedhá 19 dias,https://br.indeed.com/rc/clk?jk=cd5f14197eaccc5e&fccid=9179784f2a8f1e0f&vjs=3
Cientista de Dados Júnior,Martins,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=0e8cefb87027d724&fccid=ad323c1a5fbaa4b3&vjs=3
Desenvolvedor(a) Python,CWI Software,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=d90bfbea44f6324c&fccid=a64651178efd73c0&vjs=3
Desenvolvedora Backend - Sênior | Python (Vaga afirmativa para mulheres cis e mulheres trans),Mercafacil,Home office,PostedRecém publicada,https://br.indeed.com/rc/clk?jk=aca0b2235ce5c4b0&fccid=e1d8d0a26265504b&vjs=3
Desenvolvedor Python Backend,R&SSOUZA,"São Paulo, SP",EmployerAtiva 8 dias atrás,https://br.indeed.com/company/R&SSOUZA/jobs/Desenvolvedor-Python-Backend-3e8ba43a8e50a060?fccid=bc6884909e8773b3&vjs=3
Cientista de Dados IV,Fretebras,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=2eeb4e4a408fa9b3&fccid=52ce3d0deb78eae4&vjs=3
Estagiári@ em People Analytics,Gringo,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=9c90b24e89b42b20&fccid=a0902a1ef5fa6aa3&vjs=3
BANCO DE TALENTOS - PYTHON,Órama,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c48f20019d9d3267&fccid=704967faf7b662a6&vjs=3
Estagiário de SupplyOps,oico,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=6910726d83b28b76&fccid=ba3032386c2a40cb&vjs=3
Desenvolvedor(a) Python Pl/Sr.,Sankhya Gestão de Negócios,Home office,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=d0d50d5a61642e6a&fccid=cb41a10e2720341c&vjs=3
"Cientista de Dados (Python, R, SAS e MATLAB)",Turing.com,Home office,Postedhá 30+ dias,https://br.indeed.com/company/Turing.com/jobs/Cientista-Dados-a6a46b4c0d07fe39?fccid=a2e0cbec0b626661&vjs=3
Cientista de Dados,tembici.,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=ad4f6b9da5ab85c6&fccid=90220ad0f8ca290d&vjs=3
Cientista de Dados Jr.,Recruta Simples,"Vitória, ES",PostedHoje,https://br.indeed.com/rc/clk?jk=3571b359d485d91d&fccid=6fd0c06978445579&vjs=3
Machine Learning (Inteligência Artificial),Docket Brasil,Home office,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=58353043d7fff9e7&fccid=a88d433186eb34b6&vjs=3
Analista de Dados | CRM,Lojas Renner,Home office,Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=ec7be18ba17cca47&fccid=0421650f9c724b35&vjs=3
ESTÁGIO EM DESENVOLVIMENTO MOBILE,Positivo Tecnologia,"Home office in Curitiba, PR",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=e06848c98b9edc30&fccid=0d0653c8d098c271&vjs=3
Cientista de Dados - (1853653),ACP Group,"Salvador, BA",Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=7eb70cd34a1f9c6f&fccid=b5512c6e1dbea62d&vjs=3
Desenvolvedor Full Stack (React e Python),Turing.com,Home office,PostedHoje,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Full-Stack-cd343d02c6abf81f?fccid=a2e0cbec0b626661&vjs=3
ECS | Backend Developer (Python),Experian,"Blumenau, SC",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=d473ac738d91b092&fccid=75a3a5a15b202084&vjs=3
