title,company,location,how_old,link
"Engenheiro de Dados (Python, Bash e SQL)",Turing.com,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Engenheiro-Dados-c376349fc44c5ddc?fccid=a2e0cbec0b626661&vjs=3
Analista de Cibersegurança - PENTEST,KRYPTUS,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=196cee7067848da1&fccid=55d431a88bf4eb2b&vjs=3
Analista de Dados - Modelagem de Estatística/Financeiro,Grupo Henry Schein Brasil,Home office,Postedhá 6 dias,https://br.indeed.com/rc/clk?jk=f9be28fbf0decea1&fccid=0d45dc4fe60ffe27&vjs=3
"Desenvolvedor Python (Scrapy, Spacy, ElasticSearch, Tensorflow, e Vue.js)",Turing.com,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Python-8b30a1bf22b382a7?fccid=a2e0cbec0b626661&vjs=3
Especialista Programador(a) em Python,DATAB,"São Caetano do Sul, SP",Postedhá 26 dias,https://br.indeed.com/rc/clk?jk=605d7221d9c2d0d3&fccid=9dea647c646e3417&vjs=3
Desenvolvedor de Automatização Jr,Topaz,"São Paulo, SP",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=78597bb255d5e887&fccid=f5c3b5cbde98c19c&vjs=3
Desenvolvedor Android Júnior,Curriculum.com.br,"Home office in São Paulo, SP",Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=080eb5a1764e4a9e&fccid=22d7ce555383096d&vjs=3
Desenvolvedor(a),ETHO SOLUÇÕES,"São Paulo, SP",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=00cb40d198ef6726&fccid=07d1f89348fbfbd8&vjs=3
QA Junior,Datum TI,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c1b408bd92f9fb90&fccid=e267f08170cab296&vjs=3
Pessoa Desenvolvedora Back-End,STUDIO SOL,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c118a381d1507917&fccid=32cd57f219038228&vjs=3
Work From Home Python Developer,Workling,,PostedHoje,https://br.indeed.com/rc/clk?jk=482da9061065b43b&fccid=f07a314ad2c21918&vjs=3
Analista de Integrações Tecnologia,Carreiras Hospital Care,Home office,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=ee1fe5e4946b52f9&fccid=221a7d2050a8be7a&vjs=3
Assistente de Atendimento - Suporte Técnico,Cobli,Home office,Postedhá 20 dias,https://br.indeed.com/rc/clk?jk=372c1a8b6fe691af&fccid=a793438efc260ec2&vjs=3
Desenvolvedor Python,BCF SOLUTIONS,"São Paulo, SP",EmployerAtiva 7 dias atrás,https://br.indeed.com/company/BCF-SOLUTIONS/jobs/Desenvolvedor-Python-3ddf8b2a7c5e51ec?fccid=81f31aca5d0b9ef9&vjs=3
Estágio em Engenharia de Dados para Mulheres no Instituto Health Lake,Dadosfera,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b70143201275c463&fccid=902a286d3fc8fe48&vjs=3
Analista de Dados (Ciência de Dados),Central Ailos,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=11e7a9eb274c5b5f&fccid=a7d861d970e4c83c&vjs=3
Desenvolvedor Python Sênior,Innolevels,"São Paulo, SP",EmployerAtiva 5 dias atrás,https://br.indeed.com/company/Innolevels/jobs/Desenvolvedor-Python-S%C3%AAnior-df93c9a008b86590?fccid=b98f3184c24b89e7&vjs=3
Dev Back-end Python,JEM Security,"Hybrid remote in Chácara Santo Antônio, SP",EmployerAtiva 3 dias atrás,https://br.indeed.com/company/JEM-Security/jobs/Dev-Back-End-Python-8f25eda3f95809cb?fccid=65269b304165faa0&vjs=3
Estágio em Planejamento Urbano (Performance),tembici.,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=6090c0814f3e4c17&fccid=90220ad0f8ca290d&vjs=3
Desenvolvedor(a) Python / Django Sênior,Seg Imob Seguros Imobiliários,Home office,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=4109a03417731e85&fccid=d54614f2f5a5b6a2&vjs=3
Pessoa Analista JR - Desenvolvedora,Linx,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=13e5f093dc34b995&fccid=ac98fd0da84f31d4&vjs=3
Estágio Tech - Desenvolvimento de Software,Nelogica,Home office,Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=3f9022407a9a41c5&fccid=77ba1b798934a18f&vjs=3
Desenvolvedor de Sistemas III (Front-end e Back-end) - Berrini SP,Atento TI,,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=2343e4cbb3befa28&fccid=f8203c63aa034166&vjs=3
Python Back end Sr,Stefanini,"São Paulo, SP",PostedRecém publicada,https://br.indeed.com/rc/clk?jk=de88a610ea2b0554&fccid=b5f60e05a12127f4&vjs=3
[Python] - Software Engineer,Revelo Network,"Home office in São Paulo, SP",EmployerAtiva 28 dias atrás,https://br.indeed.com/company/Revelo-Network/jobs/-378e98e9fe4d8c3f?fccid=17066a83db00e0c9&vjs=3
Desenvolvedor(a) Full Stack PYTHON - Sênior,Não encontrada,"São José dos Campos, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1c1d3dd18f393a98&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor(a) Python Pleno,Confitec,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f0e6b350d8266778&fccid=f2cb8b67f96e9c2e&vjs=3
Desenvolvedor(a) Python - Remoto,Supera Tecnologia,Home office,Postedhá 28 dias,https://br.indeed.com/rc/clk?jk=c38e78e57d493372&fccid=19e5782eb7a75943&vjs=3
Desenvolvedor Python PL,INDT,"Manaus, AM",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=fc5b8cd8793b7b5e&fccid=aaae6fa765f90d1e&vjs=3
Cientista de Dados,A3Data,,Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=d9c7f09eddce5d5f&fccid=da9a0f944ccb7f3b&vjs=3
Cientista de Dados,Track,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=574e6cb1fc386173&fccid=6057ff4f1fd4430c&vjs=3
Pessoa Desenvolvedora Python/React,Turing.com,Home office,EmployerAtiva 29 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Pessoa-Desenvolvedora-Python-React-4e14e96efc525e8d?fccid=a2e0cbec0b626661&vjs=3
Analista de Eletrônica,Atman Systems,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=03a396dd25916338&fccid=d6703284d4d7c15b&vjs=3
Desenvolvedor Python SR,Luby Software,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1285657ac2b87b27&fccid=5b605415b403a24b&vjs=3
ANALISTA DADOS III - AD.2031,Cogna,"São Paulo, SP",PostedRecém publicada,https://br.indeed.com/rc/clk?jk=e289c22ebeda1999&fccid=2e794fb1ba5872f8&vjs=3
Especialista de Dados | Growth,Lojas Renner,Home office,Postedhá 20 dias,https://br.indeed.com/rc/clk?jk=1f006cb7bd3966d2&fccid=0421650f9c724b35&vjs=3
Anl Riscos Varejo II,Santander,"São Paulo, SP",Postedhá 18 dias,https://br.indeed.com/rc/clk?jk=10c29c2963305d01&fccid=e57a47a3d1d90e39&vjs=3
Analista de Negócios Pleno | Crédito PF,PicPay,Home office,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=da5854f0a906b321&fccid=c031daea3b1126ba&vjs=3
Gerente Líder de Projetos (Python),Turing.com,Home office,Postedhá 30+ dias,https://br.indeed.com/company/Turing.com/jobs/Gerente-L%C3%ADder-Projetos-c486fc85ec3e0233?fccid=a2e0cbec0b626661&vjs=3
Analista de Dados Jr - Presencial,Arbo,"Londrina, PR",PostedHoje,https://br.indeed.com/rc/clk?jk=a7689ff21f9b2aea&fccid=e4e7d64fdbbe260c&vjs=3
Pessoa desenvolvedora Back-End Python,Pmweb,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0ca68a438acafb4e&fccid=d5d176aad6a537a0&vjs=3
Machine Learning Engineer,Vagas | Hprojekt Tech,Home office,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=2a9ce98ba2bc3bde&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados,Globaltec S/A,"Home office in Aparecida de Goiânia, GO",Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=92cfda7696937a12&fccid=ed0355a80a4d2562&vjs=3
Analista de Modelagem Estatística (Crédito) | REALIZE,REALIZE CFI,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=659b95f5bf5a3735&fccid=e4bcb81ca9203d45&vjs=3
Cientista de Dados Sênior,Obuc Gestão de Dados,"Uberlândia, MG",EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Obuc-Gest%C3%A3o-de-Dados/jobs/Cientista-Dados-S%C3%AAnior-fb869a5669823dae?fccid=e4c1b0dad5e0c0eb&vjs=3
Arquiteto Dynatrace,Capgemini,"São Paulo, SP",Postedhá 30 dias,https://br.indeed.com/rc/clk?jk=49c1569ab2b390d1&fccid=105ecfd0283f415f&vjs=3
Estagiário de Eletrônica - Engenharia Eletrônica ou Computação,Inlog,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=5f6e8914acb61d1c&fccid=d262e0159e479add&vjs=3
ANALISTA DE DESENVOLVIMENTO SOLUCOES PL,Solinftec,"Sinop, MT",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=7d797abf61f0064d&fccid=c56c3b08f4b72656&vjs=3
Bolsista Programa Talento Inovação IEL PR | HEIJUNKA360 (graduando),Programa Talento Inovação IEL PR,"Curitiba, PR",Postedhá 28 dias,https://br.indeed.com/rc/clk?jk=c94d0e6ddd075a31&fccid=3d7b4ddfe7443bee&vjs=3
Analista de Dados Pleno,Suno Research,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=74c7d95751e0bf64&fccid=1f9e4b60fb9b8bde&vjs=3
Estágio - Laboratório de Dados,Instituto Ayrton Senna,"Hybrid remote in São Paulo, SP",Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=0561aaf0da3c150c&fccid=38f34c3c1ac70e19&vjs=3
Data Engineer,Johnson & Johnson,"São Paulo, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=1dd0a684ecf08098&fccid=0bed8e17bc113980&vjs=3
Estagiário de Dados,Safira Energia,"Home office in Barueri, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=19709359731ca7f9&fccid=0a1e124cc7a25f07&vjs=3
Desenvolvedor de Software Python,ESSS,"Florianópolis, SC",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=3d8dedcadf63d0d5&fccid=87e30d5fb8d00995&vjs=3
Pessoa Engenheira de Dados Sênior,Sympla,"Home office in Belo Horizonte, MG",Postedhá 27 dias,https://br.indeed.com/company/Sympla/jobs/Pessoa-Engenheira-Dados-S%C3%AAnior-2339dbd5c5cdbb23?fccid=700bbda364903361&vjs=3
QA Tester Python SR,RHTALENTOS.TEC,"Home office in São Paulo, SP",EmployerAtiva 27 dias atrás,https://br.indeed.com/company/RHTALENTOS.TEC/jobs/QA-Tester-Python-Senior-5687f699c2563225?fccid=e8ec5cee07a15067&vjs=3
19FP08 ST - BIG DATA Inf. Gerenciais,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=95efb1ca74134256&fccid=dd616958bd9ddc12&vjs=3
Cientista de dados (Processamento em Linguagem Natural (NLP) - TELETRABALHO E LOCAL,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=7b091e3f03276a10&fccid=dd616958bd9ddc12&vjs=3
Estágio em Engenharia de Dados,A3Data,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=5fa99b2cbfda038a&fccid=da9a0f944ccb7f3b&vjs=3
Anl Tec e Operações Senior (Python e JavaScript),Santander Brasil,"São Paulo, SP",Postedhá 21 dias,https://br.indeed.com/rc/clk?jk=7263957ab93b3ae3&fccid=e57a47a3d1d90e39&vjs=3
Cientista de Dados/Engenheiro ML,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=61351942e50a7ead&fccid=dd616958bd9ddc12&vjs=3
iClinic | Pessoa Engenheira Fullstack Sênior - Python,iClinic | Grupo Afya,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=037e6c92cc98a259&fccid=dd616958bd9ddc12&vjs=3
ENGENHEIRO DE SOFTWARE FULLSTACK JUNIOR,ROIT,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=4d27aec4d55f10ed&fccid=881947d7f3319cbd&vjs=3
Estagiário DevOps,OWSE - Objects Web & Software Engineering,"Home office in Rio de Janeiro, RJ",EmployerAtiva 9 dias atrás,https://br.indeed.com/company/OWSE---Objects-Web-&-Software-Engineering/jobs/Estagi%C3%A1rio-Devops-0bc1957bc4270418?fccid=7ec5096eab5aada2&vjs=3
Sr Python Engineer,Luxoft,Home office,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=2d6c7872c7a9205a&fccid=4b841d912d46e4fd&vjs=3
Engenheiro(a) de Machine Learning,A3Data,,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=04267ec7ab1d77b5&fccid=da9a0f944ccb7f3b&vjs=3
Consultant Expert - Manufacturing,McKinsey & Company,"São Paulo, SP",Postedhá 16 dias,https://br.indeed.com/rc/clk?jk=79932ea43bef4af8&fccid=6576e7250aa78c3c&vjs=3
Quantitative Analyst - ACRE,McKinsey & Company,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=a91925b42272fd08&fccid=6576e7250aa78c3c&vjs=3
Cientista de Dados (Python),Turing.com,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Cientista-Dados-0b1f3997afa4bbe1?fccid=a2e0cbec0b626661&vjs=3
Especialista em Planejamento Financeiro de Cartões,will bank,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=9ebe9913aa5bc148&fccid=6f87f0f19f9e71be&vjs=3
Tech Art – Rigging & Cinematic,Kokku,"Recife, PE",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=35107b67e28bafe2&fccid=a9b103e2a7eea1ea&vjs=3
"Desenvolvedor Frontend (Python, Next.js, JavaScript e React)",Turing.com,Home office,EmployerAtiva 3 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Frontend-6a1798c1dd15743c?fccid=a2e0cbec0b626661&vjs=3
Software Tester,MOST Specialist Technologies,"Home office in Belo Horizonte, MG",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cfb27b41fd5cf88f&fccid=164a79a2d47e57e3&vjs=3
Analista de Monitoramento- Observability Zabbix/ Grafana,Secureway Tecnologia,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0bdc6623ec47e528&fccid=c154865ef3578d83&vjs=3
Backend Developer (Python),Experian,"Blumenau, SC",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=230641025a57d31d&fccid=75a3a5a15b202084&vjs=3
Python Developer - Vila Progresso,Jobbol,"Sorocaba, SP",Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=5087885e397dee56&fccid=c64032edc49f7500&vjs=3
Analista de Monitoramento- Observability Zabbix/ Grafana,Secureway Tecnologia,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0bdc6623ec47e528&fccid=c154865ef3578d83&vjs=3
Backend Developer (Python),Experian,"Blumenau, SC",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=230641025a57d31d&fccid=75a3a5a15b202084&vjs=3
Python Developer - Vila Progresso,Jobbol,"Sorocaba, SP",Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=5087885e397dee56&fccid=c64032edc49f7500&vjs=3
DevOps Engineer with Python,Luxoft,"Brasília, DF",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=ccc69282ce25f2c4&fccid=4b841d912d46e4fd&vjs=3
Analista de Pricing Pleno,Cielo,Home office,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=d6e1e81ecb522060&fccid=914d1e1f722393dc&vjs=3
Machine Learning – NLP - REMOTO,CPQD,"Home office in Campinas, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=33f310b47e0d4515&fccid=d7d3c71610f67ee0&vjs=3
Analista de Dados,MaxMilhas,Home office,Postedhá 8 dias,https://br.indeed.com/company/MaxMilhas/jobs/Analista-Dados-395b84651815c6f9?fccid=677830bfe0eba4ff&vjs=3
Programador python,CAVOK AVIAÇÃO,"Pinhais, PR",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=dbdaeeffc3fb3ca1&fccid=ea666f11ce6a4f11&vjs=3
Analise de Suporte N2,UELLO,Home office,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=fefe1fb402ef3e01&fccid=9a56ad0fbe33688b&vjs=3
ANALISTA DE DADOS PLENO - (PREVENÇÃO A FRAUDES),Neon Pagamentos,Home office in Brasil,Postedhá 20 dias,https://br.indeed.com/rc/clk?jk=d086d3ece2f828d0&fccid=f362771e1d0a24ae&vjs=3
Analista de Estratégia e Performance Sênior,Cielo,Home office,Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=d26ed7c5ae3281b1&fccid=914d1e1f722393dc&vjs=3
PEBMED | Pessoa Engenheira de Dados Junior,PEBMED,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=ae757010b313f3fa&fccid=ec6d6e5d0bd8f28f&vjs=3
DESENVOLVEDOR JAVA SCRIPT - RIO DE JANEIRO,OEmprego,"Rio de Janeiro, RJ",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=1e10c6417d559625&fccid=919b31f0a22ef58e&vjs=3
Estágio em DevOps,Frexco,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b190981cb0488f83&fccid=a568dda0cd1422d0&vjs=3
Desenvolvedor(a) Python Pleno,Não encontrada,,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=162148c05f2e4b4c&fccid=dd616958bd9ddc12&vjs=3
BACK-END PYTHON DEVELOPER,Bluestorm Software,"Ribeirão Preto, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=870e6ab1df1f2c80&fccid=e231d2c2b5d748f4&vjs=3
Pessoa desenvolvedora nível Estagiário,Terras,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=78d93fd9856bc691&fccid=f22bac1b159d6087&vjs=3
Sympla | Cientista de Dados,Anywhere,Home office,Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=b37a2a2b52234ebc&fccid=6ba6257a4542364a&vjs=3
Desenvolvedor(a) Python pleno (remoto),GeekHunter,"Home office in São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=32b78690d0fc5d5b&fccid=9ba8dec3013c0c90&vjs=3
ANALISTA DE INTELIGÊNCIA ESTATÍSTICA JÚNIOR (100% REMOTO),Clearsale,"Home office in São Paulo, SP",Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=7741defd1cc34fd1&fccid=045c94fbbd4fa63c&vjs=3
Analista de Web Analytics Sênior,Suno Research,Home office,PostedHoje,https://br.indeed.com/rc/clk?jk=34ee510b6fb40fbf&fccid=1f9e4b60fb9b8bde&vjs=3
Analista de Crédito Júnior - Credenciamento,Appmax,Home office,Postedhá 23 dias,https://br.indeed.com/rc/clk?jk=177e9ef2e5ca36a4&fccid=bf52a541fc5edf24&vjs=3
Estágio Tecnologia - Full Stack,SAMPLEMED SERVIÇOS MÉDICOS,"Home office in São Paulo, SP",EmployerAtiva 2 dias atrás,https://br.indeed.com/company/SAMPLEMED-SERVI%C3%87OS-M%C3%89DICOS/jobs/Est%C3%A1gio-Tecnologia-faa96ffd064a382c?fccid=54b144070ed46b4c&vjs=3
Pessoa Desenvolvedora Python IA- Nível Pleno,Dell Lead,,Postedhá 2 dias,https://br.indeed.com/company/Lead-Dell/jobs/Pessoa-Desenvolvedora-Python-Ia-d2aeed53e2f53aff?fccid=01ed06d93b61278d&vjs=3
DESENVOLVEDOR BACKEND - LOWCODE (17857),Bosch Group,"Curitiba, PR",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=c955870a9b50f08d&fccid=a2faf1301ac6ad4b&vjs=3
Customer Service Representative- middleware Junior,Kyndryl,"Hortolândia, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=5c20cfe0da959570&fccid=c7e21868d667ab79&vjs=3
Desenvolvedor Python Sr - SP - Remoto #443,iBlue Consulting,"Home office in São Paulo, SP",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=d1aeb9738361df17&fccid=cd699d24e4f5fb6c&vjs=3
DESENVOLVEDOR PYTHON - SUPERIOR EM ANDAMENTO,Não encontrada,"Itajubá, MG",PostedHoje,https://br.indeed.com/rc/clk?jk=565493ba6893ce70&fccid=dd616958bd9ddc12&vjs=3
Data & Analytics | Data Engineering Jr,Hurb,Home office,Postedhá 30+ dias,https://br.indeed.com/company/hurb/jobs/Data-Analytics-Data-Engineering-Junior-d2734b875e7e0110?fccid=a784efba46c28b98&vjs=3
Pentester - Brasil,Cornershop by Uber,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=cf14d3194d53956b&fccid=d9bba51ffc063303&vjs=3
Não encontrou uma vaga pra você? Manda pra gente seu CV aqui =),Celero,"Curitiba, PR",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e38271eeff18fbec&fccid=d19802f25506b939&vjs=3
AUDITOR OU AUDITORA DE TI PLENO,usiminas,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=1d8f46478b0e6727&fccid=54dfb0f747802322&vjs=3
Analista Inteligência de Mercado Júnior,GOL Linhas Aéreas,Home office,Postedhá 27 dias,https://br.indeed.com/company/GOL-Linhas-A%C3%A9ras/jobs/Analista-Intelig%C3%AAncia-Mercado-J%C3%BAnior-7ae38e438a9fbab6?fccid=4abbea6f16383dfd&vjs=3
Software Engineer - Python,Metal Toad,"São Paulo, SP",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=c47742e3b5250148&fccid=433d4760cb006f13&vjs=3
Cientista de Dados,Liv Up,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=2e70fddddf9a381a&fccid=c529404c44cdcef1&vjs=3
"Desenvolvedor Full Stack (Python, GRPC, e Golang)",Turing.com,Home office,Postedhá 30+ dias,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Full-Stack-ff9d864190738ea0?fccid=a2e0cbec0b626661&vjs=3
ANALISTA DE POLÍTICAS DE CRÉDITO PLENO,Neon Pagamentos,Home office in Brasil,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=bb9b00a982083b35&fccid=f362771e1d0a24ae&vjs=3
Analista de Dados,Cortex,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=788a5678a8d04012&fccid=5f99eb6ef35d2311&vjs=3
Software Engineer - Python/Django,Juntos Somos Mais,"Home office in São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b4cf8eb6ba61af48&fccid=de4d40771cb9097f&vjs=3
Senior Software Engineer - Kubeflow/MLOps (Python/Kubernetes),Canonical - Jobs,,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=bb94f93195c4523f&fccid=d40b824c7b625849&vjs=3
SDET - Bangalore (SQL QE),Taking,Home office in Exterior,Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=aaf4d290d006f6f6&fccid=54d424b6e8c4e1e7&vjs=3
Desenvolvedor de Software - Ansible/Python,IBM,"Hortolândia, SP",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=ebc36712907f97c4&fccid=de71a49b535e21cb&vjs=3
Estagiário de Risco,Safira Energia,"Home office in Barueri, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=9cdb0aebcfd8693b&fccid=0a1e124cc7a25f07&vjs=3
Software Engineer - OpenStack,Canonical - Jobs,,PostedHoje,https://br.indeed.com/rc/clk?jk=d66c6ba9f6721d65&fccid=d40b824c7b625849&vjs=3
"Product Solutions Engineer, gTech Users and Products",Google,"São Paulo, SP",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=d33bca4f56477592&fccid=a5b4499d9e91a5c6&vjs=3
Pessoa desenvolvedora Web Júnior,Terras,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=34b10817655112cc&fccid=f22bac1b159d6087&vjs=3
Analista de Crédito (MIS & ANALYTICS) | Realize,REALIZE CFI,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=e0fccb6fc43e572c&fccid=e4bcb81ca9203d45&vjs=3
Cientista de Dados,EY,"São Paulo, SP",Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=a6742625cbdb3d2c&fccid=1544766d4c2915b0&vjs=3
Arquiteto de Integração de Dados - TELETRABALHO,Minsait an Indra Company,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=a40a7fc823f34807&fccid=dd616958bd9ddc12&vjs=3
Pessoa Arquiteta de Dados,Banco BV,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f1d450cd315bca33&fccid=ceee6c892674bc45&vjs=3
"Full Stack Developer - React,Python,AWS",Não encontrada,Home office,Postedhá 9 dias,https://br.indeed.com/rc/clk?jk=497931d984399d35&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados PL (Web Analytics),MadeiraMadeira,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=3630fb05b7f3da1d&fccid=7522264cf9717691&vjs=3
Backend Developer (Python),ISH Tecnologia,Home office,Postedhá 27 dias,https://br.indeed.com/rc/clk?jk=0d03ae2636325bc8&fccid=65a10ca77d17ef13&vjs=3
Estagiário de Negócios (Value Creation),Worked,"São Paulo, SP",PostedHoje,https://br.indeed.com/company/Worked/jobs/Estagi%C3%A1rio-Neg%C3%B3cios-373984d865699503?fccid=9e5433a291495a49&vjs=3
Desenvolvedor BackEnd (Python e Django),Turing.com,Home office,EmployerAtiva 29 dias atrás,https://br.indeed.com/company/Turing.com/jobs/Desenvolvedor-Backend-6e35b3baabbfb259?fccid=a2e0cbec0b626661&vjs=3
Analista de Dados,Sicredi,,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=c78eafdf773c8121&fccid=0bedb393cb03c383&vjs=3
Niduu | Back-End Engineer Python Senior,Niduu,Home office,Postedhá 23 dias,https://br.indeed.com/rc/clk?jk=1d8d18c3166957cb&fccid=9cb520188c6980f2&vjs=3
Estagiário de CRM,credsystem,Home office,Postedhá 30 dias,https://br.indeed.com/rc/clk?jk=3fb92a25d3874f49&fccid=e35ff851d1795831&vjs=3
Estagiário de Desenvolvimento - Middle Office,Safira Energia,"Home office in Barueri, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f98560287857b9d0&fccid=0a1e124cc7a25f07&vjs=3
Analista de Dados,Moka Info,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=262c4a55b0a3909d&fccid=4721d54968b95883&vjs=3
Selenium + Python Developer,Wipro Limited,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=4378ae7f545738be&fccid=8d25321c1defe73f&vjs=3
